"Accueil";"Allonge";"Authenticite";"Caracteristiques";"Categorie";"Convertible";"Couleur";"Diamètre";"Dimensions";"Emplacement dans la Maison";"Entretien";"Epoque";"Ergonomique";"Etat 2";"Fermeté";"Fete";"Fonction relax";"Forme";"Garantie constructeur";"Garantie Marchand";"Gonfleur intégré";"Grille de taille";"Hauteur";"Housse";"Impression";"Indépendance de couchage";"Largeur";"Lattes apparentes";"Longueur (cm)";"Marque";"Matiere";"Matière du tissu";"Nombre de chaises";"Nombre de pieces";"Nombre de places";"Nombre de portes";"Origine";"Parfum";"Periode";"Pliable";"Poids";"Profondeur";"Public";"Senteur";"Sommier cuvette";"Sommier déco";"Sous-type";"Soutien du dos";"Style";"Taille";"Temps de combustion";"Theme";"Type";"Type de latex";"Type de mousse";"Type de ressorts";"Unité des dimensions"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Filet";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Bout de canapé";"";"Restauration";"";"";"";"Barre à rideau";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fonte";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Bridge";"";"Retro";"";"";"";"Batik";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Formica";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Brucelles";"";"Shaggy, Longues meches";"";"";"";"Berceau";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Frêne";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Cabine balneo";"";"Tresse";"";"";"";"Berceaux";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Granit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Cabine carree";"";"Uni";"";"";"";"Bergère";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Gres";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Cabine circulaire";"";"Voyage";"";"";"";"Bibliothèque";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Hetre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Cabriolet";"";"";"";"";"";"Bijou";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Hêtre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Cache-prises";"";"";"";"";"";"Bloc de classement";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Inox";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Cadran";"";"";"";"";"";"Boite";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Ivoire";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Caillebotis";"";"";"";"";"";"Bonnetière";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Jade";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Cale-bebes";"";"";"";"";"";"Bougeoir";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Jute";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Carree";"";"";"";"";"";"Bougeoir, Chandelier";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Laine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Chambre";"";"";"";"";"";"Bougie";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Laiton";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Chandelier a branches";"";"";"";"";"";"Bougie chauffe-plat";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Latex";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Charniere";"";"";"";"";"";"Bougie classique, Decorative";"";"";"";""
